"3taps code","default?",,"city","state","loc_1","location 1","url","loc_2","location_2",,"Display City State","Display State",,"lat-long"
"ALO",,,"US","iowa","waterloo","waterloo / cedar falls","waterloo.craigslist.org",,,,"Waterloo/Cedar Falls IA","Iowa",,"(42.523611, -92.446389)"
"KSZ",,,"US","kansas","ksu","manhattan","ksu.craigslist.org",,,,"Manhattan KS","Kansas",,"(39.183608, -96.571669)"
"LWC",,,"US","kansas","lawrence","lawrence","lawrence.craigslist.org",,,,"Lawrence KS","Kansas",,"(38.971669, -95.23525)"
"KSZ",,,"US","kansas","nwks","northwest KS","nwks.craigslist.org",,,,"Northwest KS","Kansas",,"(39.350833, -101.710172)"
"KSZ",,,"US","kansas","salina","salina","salina.craigslist.org",,,,"Salina KS","Kansas",,"(38.84028, -97.611424)"
"KSZ",,,"US","kansas","seks","southeast KS","seks.craigslist.org",,,,"Southeast KS","Kansas",,"(37.0373, -95.616366)"
"KSZ",,,"US","kansas","swks","southwest KS","swks.craigslist.org",,,,"Southwest KS","Kansas",,"(37.752798, -100.017079)"
"FOE",,,"US","kansas","topeka","topeka","topeka.craigslist.org",,,,"Topeka KS","Kansas",,"(39.055823, -95.689018)"
"ICT",,,"US","kansas","wichita","wichita","wichita.craigslist.org",,,,"Wichita KS","Kansas",,"(37.692236, -97.337545)"
"KYZ",,,"US","kentucky","bgky","bowling green","bgky.craigslist.org",,,,"Bowling Green KY","Kentucky",,"(36.99032, -86.443602)"
"KYZ",,,"US","kentucky","eastky","eastern kentucky","eastky.craigslist.org",,,,"Eastern KY","Kentucky",,"(37.921476, -83.259622)"
"LEX",,,"US","kentucky","lexington","lexington","lexington.craigslist.org",,,,"Lexington KY","Kentucky",,"(38.031714, -84.495136)"
